MethodId,Name,ClassId
getCustomerId,getCustomerId,Order
getRestaurantId,getRestaurantId,Order
getTotalPrice,getTotalPrice,Order
Order_Details,Order_Details,Order_Details
getDish_list,getDish_list,Order_Details
setDish_list,setDish_list,Order_Details
isIs_cutlery,isIs_cutlery,Order_Details
setIs_cutlery,setIs_cutlery,Order_Details
isTip_amount,isTip_amount,Order_Details
setTip_amount,setTip_amount,Order_Details
getDiscount_amount,getDiscount_amount,Order_Details
setDiscount_amount,setDiscount_amount,Order_Details
getDelivery_fee,getDelivery_fee,Order_Details
setDelivery_fee,setDelivery_fee,Order_Details
getInstructions,getInstructions,Order_Details
setInstructions,setInstructions,Order_Details
createNewOrder,createNewOrder,Order_Controller
createMyNewOrder,createMyNewOrder,Order_Controller
getAllOrders,getAllOrders,Order_Controller
Order,Order,Order
Order,Order,Order
getOrderId,getOrderId,Order
getCustomerId,getCustomerId,Order
getRestaurantId,getRestaurantId,Order
getTotalPrice,getTotalPrice,Order
setOrderId,setOrderId,Order
setCustomerId,setCustomerId,Order
setRestaurantId,setRestaurantId,Order
setTotalPrice,setTotalPrice,Order
getDish_list,getDish_list,Order
setDish_list,setDish_list,Order
isIs_cutlery,isIs_cutlery,Order
setIs_cutlery,setIs_cutlery,Order
isTip_amount,isTip_amount,Order
setTip_amount,setTip_amount,Order
getDiscount_amount,getDiscount_amount,Order
setDiscount_amount,setDiscount_amount,Order
getDelivery_fee,getDelivery_fee,Order
setDelivery_fee,setDelivery_fee,Order
getInstructions,getInstructions,Order
setInstructions,setInstructions,Order
createNewOrder,createNewOrder,OrderService
createNewOrder,createNewOrder,Order_Controller
createMyNewOrder,createMyNewOrder,Order_Controller
getAllOrders,getAllOrders,Order_Controller
createNewOrder,createNewOrder,OrderDBHandler
Order,Order,Order
Order,Order,Order
getOrderId,getOrderId,Order
getCustomerId,getCustomerId,Order
getRestaurantId,getRestaurantId,Order
getTotalPrice,getTotalPrice,Order
setOrderId,setOrderId,Order
setCustomerId,setCustomerId,Order
setRestaurantId,setRestaurantId,Order
setTotalPrice,setTotalPrice,Order
getDish_list,getDish_list,Order
setDish_list,setDish_list,Order
getCutlery_Price,getCutlery_Price,Order
setCutlery_Price,setCutlery_Price,Order
getTipAmount,getTipAmount,Order
setTip_amount,setTip_amount,Order
getDiscount_amount,getDiscount_amount,Order
setDiscount_amount,setDiscount_amount,Order
getDelivery_fee,getDelivery_fee,Order
setDelivery_fee,setDelivery_fee,Order
getInstructions,getInstructions,Order
setInstructions,setInstructions,Order
Cutlery,Cutlery,Cutlery
getTotalPrice,getTotalPrice,Cutlery
Delivery_Fee,Delivery_Fee,Delivery_Fee
getTotalPrice,getTotalPrice,Delivery_Fee
Discounts,Discounts,Discounts
getTotalPrice,getTotalPrice,Discounts
createNewOrder,createNewOrder,OrderService
Order_Decorator,Order_Decorator,public
getOrderId,getOrderId,public
getCustomerId,getCustomerId,public
getRestaurantId,getRestaurantId,public
getTotalPrice,getTotalPrice,public
getDiscount_amount,getDiscount_amount,public
getDelivery_fee,getDelivery_fee,public
getCutlery_Price,getCutlery_Price,public
getTipAmount,getTipAmount,public
Tips,Tips,Tips
getTotalPrice,getTotalPrice,Tips
createNewOrder,createNewOrder,OrderDBHandler
createNewOrder,createNewOrder,OrderService
NewPayment,NewPayment,PaymentGateway
getLocation,getLocation,Customer
setLocation,setLocation,Customer
getAddress,getAddress,Customer
setAddress,setAddress,Customer
getPayment_info,getPayment_info,Customer
setPayment_info,setPayment_info,Customer
getOrder_history,getOrder_history,Customer
setOrder_history,setOrder_history,Customer
Cutlery_Decorator,Cutlery_Decorator,Cutlery_Decorator
getTotalPrice,getTotalPrice,Cutlery_Decorator
Delivery_Fee_Decorator,Delivery_Fee_Decorator,Delivery_Fee_Decorator
getTotalPrice,getTotalPrice,Delivery_Fee_Decorator
Discounts_Decorator,Discounts_Decorator,Discounts_Decorator
getTotalPrice,getTotalPrice,Discounts_Decorator
getOrderId,getOrderId,DeliveryOrder
setOrderId,setOrderId,DeliveryOrder
getCustomerName,getCustomerName,DeliveryOrder
setCustomerName,setCustomerName,DeliveryOrder
getCustomerAddress,getCustomerAddress,DeliveryOrder
setCustomerAddress,setCustomerAddress,DeliveryOrder
getRestaurantId,getRestaurantId,DeliveryOrder
setRestaurantId,setRestaurantId,DeliveryOrder
getRestaurantAddress,getRestaurantAddress,DeliveryOrder
setRestaurantAddress,setRestaurantAddress,DeliveryOrder
getDistance,getDistance,DeliveryOrder
setDistance,setDistance,DeliveryOrder
getestimatedTime,getestimatedTime,DeliveryOrder
setestimatedTime,setestimatedTime,DeliveryOrder
getDeliveryType,getDeliveryType,DeliveryOrder
setDeliveryType,setDeliveryType,DeliveryOrder
DeliveryOrderFactory,DeliveryOrderFactory,DeliveryOrderFactory
createDeliveryOrder,createDeliveryOrder,DeliveryOrderFactory
DeliveryOrder_Bike,DeliveryOrder_Bike,DeliveryOrder_Bike
createDeliveryOrder,createDeliveryOrder,DeliveryOrder_Bike
DeliveryOrder_Car,DeliveryOrder_Car,DeliveryOrder_Car
createDeliveryOrder,createDeliveryOrder,DeliveryOrder_Car
createNewOrder,createNewOrder,OrderService
DeliveryOrderRequest,DeliveryOrderRequest,OrderService
Tips_Decorator,Tips_Decorator,Tips_Decorator
getTotalPrice,getTotalPrice,Tips_Decorator
getAllUsers,getAllUsers,UserService
createUserRestuarantManager,createUserRestuarantManager,UserService
createUserRider,createUserRider,UserService
createCustomer,createCustomer,UserService
Login,Login,UserService
createNewOrder,createNewOrder,Order_Controller
createMyNewOrder,createMyNewOrder,Order_Controller
CreateDelivery,CreateDelivery,Order_Controller
getAllOrders,getAllOrders,Order_Controller
createRestuarantManager,createRestuarantManager,User_Controller
createRider,createRider,User_Controller
getAllUsers,getAllUsers,User_Controller
createCustomer,createCustomer,User_Controller
createCustomer,createCustomer,User_Controller
SaveRestuarantManager,SaveRestuarantManager,UserDBHandler
SaveRider,SaveRider,UserDBHandler
SaveCustomer,SaveCustomer,UserDBHandler
ValidateUser,ValidateUser,AuthenticationManager
NewPayment,NewPayment,PaymentGateway
DeliveryOrderFactory,DeliveryOrderFactory,DeliveryOrderFactory
createDeliveryOrder,createDeliveryOrder,DeliveryOrderFactory
DeliveryRider,DeliveryRider,DeliveryRider
update,update,DeliveryRider
getState,getState,DeliveryStatus
setState,setState,DeliveryStatus
attach,attach,DeliveryStatus
notifyAllObservers,notifyAllObservers,DeliveryStatus
createNewOrder,createNewOrder,OrderService
DeliveryOrderRequest,DeliveryOrderRequest,OrderService
DeliveryStatusBroadCast,DeliveryStatusBroadCast,OrderService
createNewOrder,createNewOrder,OrderService
DeliveryOrderRequest,DeliveryOrderRequest,OrderService
AcceptDelivery,AcceptDelivery,OrderService
DeliveryStatusBroadCast,DeliveryStatusBroadCast,OrderService
getAllRiders,getAllRiders,OrderService
getAllUsers,getAllUsers,UserService
createUserRestuarantManager,createUserRestuarantManager,UserService
createUserRider,createUserRider,UserService
createCustomer,createCustomer,UserService
Login,Login,UserService
getAllRider,getAllRider,UserService
createNewOrder,createNewOrder,Order_Controller
createMyNewOrder,createMyNewOrder,Order_Controller
CreateDelivery,CreateDelivery,Order_Controller
AcceptDelivery,AcceptDelivery,Order_Controller
getAllOrders,getAllOrders,Order_Controller
ValidateUser,ValidateUser,AuthenticationManager
getAllUsers,getAllUsers,UserService
createUserRestuarantManager,createUserRestuarantManager,UserService
createUserRider,createUserRider,UserService
createCustomer,createCustomer,UserService
Login,Login,UserService
getAllRider,getAllRider,UserService
generateToken,generateToken,JWTUtility
getClaims,getClaims,JWTUtility
