FileName,DeveloperId,DeveloperName,ProjectId,ChangeType
AsianFontMapper.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
BadPdfFormatException.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
Barcode.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
Barcode128.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
Barcode39.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
BarcodeCodabar.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
BarcodeDatamatrix.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
BarcodeEAN.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
BarcodeEANSUPP.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
BarcodeInter25.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
BarcodePDF417.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
BarcodePostnet.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
BaseField.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
BaseFont.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
BidiLine.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
BidiOrder.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
ByteBuffer.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
CFFFont.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
CFFFontSubset.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
CJKFont.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
CMYKColor.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
CMapAwareDocumentFont.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
ColorDetails.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
ColumnText.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
DefaultFontMapper.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
DefaultSplitCharacter.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
DocumentFont.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
EnumerateTTC.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
ExtendedColor.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
ExtraEncoding.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
FdfReader.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
FdfWriter.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
FontDetails.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
FontMapper.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
FontSelector.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
GlyphList.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
GrayColor.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
HyphenationAuto.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
HyphenationEvent.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
IntHashtable.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
LZWDecoder.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
MappedRandomAccessFile.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
MultiColumnText.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
OcspClient.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
OcspClientBouncyCastle.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
OutputStreamCounter.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
OutputStreamEncryption.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PRAcroForm.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PRIndirectReference.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PRStream.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PRTokeniser.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PageResources.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PatternColor.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfAcroForm.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfAction.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfAnnotation.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfAppearance.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfArray.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfBoolean.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfBorderArray.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfBorderDictionary.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfCell.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfChunk.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfColor.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfContentByte.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfContentParser.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfContents.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfCopy.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfCopyFields.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfCopyFieldsImp.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfCopyForms.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfCopyFormsImp.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfDashPattern.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfDate.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfDestination.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfDeveloperExtension.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfDictionary.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfDocument.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfEFStream.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfEncodings.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfEncryption.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfEncryptor.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfException.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfFileSpecification.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfFont.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfFormField.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfFormXObject.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfFunction.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfGState.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfGraphics2D.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfICCBased.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfImage.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfImportedPage.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfIndirectObject.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfIndirectReference.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfLayer.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfLayerMembership.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfLine.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfLister.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfLiteral.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfMediaClipData.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfName.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfNameTree.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfNull.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfNumber.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfNumberTree.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfOCG.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfOCProperties.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfObject.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfOutline.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfPCell.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfPCellEvent.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfPKCS7.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfPRow.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfPSXObject.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfPTable.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfPTableEvent.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfPage.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfPageElement.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfPageEvent.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfPageEventHelper.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfPageLabels.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfPages.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfPattern.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfPatternPainter.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfPrinterGraphics2D.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfPublicKeyRecipient.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfPublicKeySecurityHandler.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfReader.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfReaderInstance.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfRectangle.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfRendition.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfResources.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfShading.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfShadingPattern.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfSigGenericPKCS.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfSignature.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfSignatureAppearance.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfSmartCopy.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfSpotColor.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfStamper.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfStamperImp.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfStream.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfString.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfStructureElement.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfStructureTreeRoot.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfTable.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfTemplate.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfTextArray.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfTransition.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfTransparencyGroup.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfWriter.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfXConformanceException.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
Pfm2afm.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PushbuttonField.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
RadioCheckField.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
RandomAccessFileOrArray.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
SequenceList.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
ShadingColor.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
SimpleBookmark.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
SimpleNamedDestination.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
SpotColor.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
StampContent.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
StandardDecryption.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
TSAClient.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
TSAClientBouncyCastle.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
TextField.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
TrueTypeFont.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
TrueTypeFontSubSet.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
TrueTypeFontUnicode.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
Type1Font.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
Type3Font.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
Type3Glyph.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
VerticalText.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
XfaForm.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
XfdfReader.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
Base64.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
BmpImage.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
CCITTG4Encoder.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
GifImage.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
JBIG2Image.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
JBIG2SegmentReader.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PngImage.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
TIFFConstants.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
TIFFDirectory.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
TIFFFaxDecoder.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
TIFFField.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
TIFFLZWDecoder.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
TiffImage.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
